system   D            wsystem.c:583  maybe_parent_dir                 [   0.00029] Also searching C:\Users\BSP-B.Tech\Documents\Visual Studio 2012\Projects\Load Runner 1.0\
display  D   display_settings.c:377  _al_score_display_settings       [   0.11515] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11517] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11519] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11520] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11523] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11524] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11527] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11529] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11531] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11533] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11535] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11536] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11539] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11540] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11542] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11544] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11546] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11548] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11550] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11552] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11554] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11556] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
